lat_bin,lon_bin,observed_incidents
41.97,-87.65,2336
41.94,-87.69,2331
41.84,-87.72,2324
41.91,-87.7,2324
41.775,-87.655,2322
41.695,-87.64,2321
41.78,-87.62,2321
41.87,-87.735,2311
41.895,-87.695,2309
41.81,-87.63,2307
41.945,-87.745,2305
41.92,-87.78,2300
41.92,-87.775,2299
41.855,-87.685,2298
41.905,-87.745,2296
41.795,-87.69,2293
41.955,-87.705,2289
41.985,-87.67,2288
41.745,-87.61,2285
41.69,-87.655,2284
41.95,-87.715,2284
41.735,-87.59,2281
41.915,-87.655,2278
41.96,-87.67,2277
41.69,-87.65,2268
41.885,-87.64,2265
41.725,-87.66,2262
41.655,-87.545,2259
41.97,-87.73,2259
41.955,-87.68,2257
41.755,-87.615,2248
41.92,-87.67,2244
41.765,-87.68,2240
41.84,-87.655,2235
41.8,-87.63,2234
41.69,-87.615,2233
41.94,-87.7,2229
41.87,-87.655,2228
41.995,-87.67,2226
41.875,-87.67,2222
41.785,-87.595,2221
41.68,-87.66,2217
41.76,-87.66,2217
41.93,-87.74,2217
41.81,-87.66,2216
41.93,-87.785,2216
41.97,-87.675,2216
41.885,-87.66,2215
41.72,-87.665,2214
41.945,-87.66,2208
41.92,-87.765,2202
41.745,-87.57,2197
41.725,-87.595,2196
41.74,-87.58,2196
41.805,-87.685,2190
41.735,-87.67,2189
41.935,-87.66,2188
41.76,-87.64,2186
41.875,-87.635,2186
41.79,-87.7,2185
41.9,-87.68,2185
41.95,-87.71,2183
41.97,-87.68,2179
41.89,-87.64,2175
41.935,-87.755,2168
41.89,-87.61,2167
41.7,-87.615,2166
41.785,-87.635,2164
41.72,-87.57,2162
41.845,-87.645,2161
42.01,-87.69,2154
41.985,-87.715,2152
41.865,-87.685,2149
41.815,-87.685,2147
42.015,-87.685,2147
41.805,-87.645,2146
41.985,-87.665,2141
41.81,-87.71,2140
41.84,-87.705,2140
41.78,-87.725,2137
41.91,-87.645,2137
41.7,-87.645,2136
41.735,-87.61,2136
41.975,-87.715,2136
41.89,-87.685,2132
41.935,-87.77,2131
41.945,-87.67,2129
41.945,-87.725,2124
41.96,-87.7,2121
41.855,-87.65,2114
41.93,-87.69,2114
41.685,-87.655,2104
41.945,-87.73,2104
41.71,-87.64,2098
41.8,-87.73,2084
41.78,-87.68,2082
41.945,-87.76,2080
41.95,-87.665,2080
41.85,-87.635,2078
41.79,-87.695,2072
41.805,-87.585,2072
41.94,-87.77,2070
41.96,-87.75,2070
41.96,-87.68,2070
41.72,-87.535,2068
41.92,-87.66,2063
41.685,-87.66,2060
41.71,-87.65,2058
41.785,-87.675,2058
41.69,-87.67,2057
41.705,-87.61,2057
41.78,-87.74,2056
41.71,-87.645,2052
41.985,-87.7,2052
41.83,-87.685,2050
41.7,-87.56,2049
41.725,-87.665,2048
